,TagName,
"14694","android","1"
"14207","android","2"
"14823","android","3"
"3997","angular2","1"
"4482","angular2","2"
"4190","angular2","3"
"5218","angularjs","1"
"4825","angularjs","2"
"4716","angularjs","3"
"2790","asp.net","1"
"2559","asp.net","2"
"2774","asp.net","3"
"317","assembly","1"
"327","assembly","2"
"405","assembly","3"
"123","aurelia","1"
"130","aurelia","2"
"89","aurelia","3"
"66","backbone.js","1"
"48","backbone.js","2"
"77","backbone.js","3"
"2","blackberry","2"
"2898","c","1"
"2918","c","2"
"2897","c","3"
"12983","c#","1"
"13134","c#","2"
"12985","c#","3"
"6148","c++","1"
"5726","c++","2"
"6090","c++","3"
"296","delphi","1"
"349","delphi","2"
"316","delphi","3"
"28","derby","1"
"23","derby","2"
"28","derby","3"
"2206","django","1"
"2455","django","2"
"2294","django","3"
"57","dojo","1"
"36","dojo","2"
"50","dojo","3"
"148","elixir","1"
"185","elixir","2"
"137","elixir","3"
"231","ember.js","1"
"239","ember.js","2"
"181","ember.js","3"
"919","express","1"
"948","express","2"
"900","express","3"
"159","extjs","1"
"134","extjs","2"
"141","extjs","3"
"442","flask","1"
"440","flask","2"
"492","flask","3"
"603","go","1"
"587","go","2"
"616","go","3"
"65","gwt","1"
"69","gwt","2"
"72","gwt","3"
"7035","ios","1"
"6688","ios","2"
"6326","ios","3"
"16529","java","1"
"16978","java","2"
"18227","java","3"
"24111","javascript","1"
"24116","javascript","2"
"23485","javascript","3"
"2198","laravel","1"
"2175","laravel","2"
"2104","laravel","3"
"916","matlab","1"
"995","matlab","2"
"1081","matlab","3"
"366","meteor","1"
"363","meteor","2"
"325","meteor","3"
"1","mootools","1"
"3","mootools","2"
"1693","objective-c","1"
"1603","objective-c","2"
"1405","objective-c","3"
"355","perl","1"
"438","perl","2"
"400","perl","3"
"14339","php","1"
"14491","php","2"
"14724","php","3"
"221","plsql","1"
"218","plsql","2"
"209","plsql","3"
"15685","python","1"
"16741","python","2"
"16646","python","3"
"3872","r","1"
"4182","r","2"
"4602","r","3"
"2502","reactjs","1"
"2522","reactjs","2"
"2317","reactjs","3"
"1972","ruby","1"
"1796","ruby","2"
"1671","ruby","3"
"2839","ruby-on-rails","1"
"2641","ruby-on-rails","2"
"2451","ruby-on-rails","3"
"237","rust","1"
"210","rust","2"
"179","rust","3"
"1254","scala","1"
"1209","scala","2"
"1204","scala","3"
"34","sinatra","1"
"26","sinatra","2"
"26","sinatra","3"
"2045","spring","1"
"2099","spring","2"
"2136","spring","3"
"4768","swift","1"
"4583","swift","2"
"4367","swift","3"
"1141","vb.net","1"
"1144","vb.net","2"
"1167","vb.net","3"
"498","vue.js","1"
"483","vue.js","2"
"570","vue.js","3"
"19","web2py","1"
"23","web2py","2"
"26","web2py","3"
"14","windows-phone","1"
"11","windows-phone","2"
"17","windows-phone","3"